-1649.0	36.	1	9788324032730		twarda>	13 bajek z krolestwa Lailonii dla duzych i malych	Leszek Kolakowski	15/01/2	http://www.ceneo.pl/35380935
-1623.7	15.	1	9788324026548		miekka>	Ksiazka Dzika droga. Jak odnalazlam siebie	Cheryl Strayed	15/01/2	http://www.ceneo.pl/35317622
-1577.7	9.3	1	9788372985811			Ksiazka Podwodny swiat			http://www.ceneo.pl/1260141
-1536.0	7.9	1	9788373019140			Planeta ziemia			http://www.ceneo.pl/1319724
-1490.3	47.	1	9788372986979			Ksiazka Boski Andy i przyjaciele			http://www.ceneo.pl/1253631
-1466.2	35.	6	9788364430886			Droga doskonalosci wyd.krytyczne			http://www.ceneo.pl/47240982
-1426.8	-15	3	9788393844807			Pornofonia			http://www.ceneo.pl/28456370
-1404.4	-11	3	9788364700569			Ksiazka Glosy Pamano + CD			http://www.ceneo.pl/37772137
-1357.2	19.	5	9788324152551		twarda>	Afera srodziemnomorska	Clive Cussler	14/11/2	http://www.ceneo.pl/38019014
-1309.2	9.4	1	9788372987051			Ksiazka Wstrzasniete i zmieszane			http://www.ceneo.pl/1263679
-1281.8	-27	3	9788853605597			Ksiazka El diario de Val /CD /			http://www.ceneo.pl/11166877
-1193.1	30.	2	9788324018185			Wspolnie pokonajmy raka. Onkolog o nadziei			http://www.ceneo.pl/34616985
-1165.7	-5.	3	9788379856718			Ksiazka Worek kosci			http://www.ceneo.pl/40470535
-1067.4	4.8	1	9788377788080			Ksiazka Tajemnica Filomeny			http://www.ceneo.pl/31132757
-1051.8	7.9	2	9788361596738			Ksiazka Sklad Glowny. Tom 2			http://www.ceneo.pl/43877814
-1038.4	17.	1	9788377853238			Ksiazka Rycerz Siedmiu Krolestw			http://www.ceneo.pl/44069810
-1029.1	4.2	1	9788324151479			Poscig CUSSLER/14			http://www.ceneo.pl/31907238
-1029.1	4.2	1	9788324151486			Zamachowiec/Amber CUSSLER/14			http://www.ceneo.pl/31907226
-1029.3	4.2	1	9788361805625			Ostatni z Bogow			http://www.ceneo.pl/31907239
-1027.1	4.4	1	9788360224557			Ksiazka Teoria przemian			http://www.ceneo.pl/11008260
-972.36	-0.	3	9788378660057			Zydowskie bajki z Czerniowcow			http://www.ceneo.pl/30511809
-957.74	8.7	6	9788375749762			Zastepy Anielskie Zbieracz Burz Tom 1			http://www.ceneo.pl/43434321
-729.81	33.	5	9788364481727			Ksiazka Will Grayson, Will Grayson			http://www.ceneo.pl/47648829
-712.88	43.	4	9788365227188			Ksiazka Lap, co sie nawinie			http://www.ceneo.pl/47840824
-688.47	2.1	1	9788374692939			Ksiazka Nie chodz ciemna dolina			http://www.ceneo.pl/717338
-673.82	2.7	1	9788376484754			Ksiazka Krfotok czyli stanu wojennego nie bylo...			http://www.ceneo.pl/40550544
-650.90	16.	2	9788324013982			Przepustka z piekla			http://www.ceneo.pl/40104053
-645.38	47.	4	9788380082144			HARRY POTTER I KOMNATA TAJEMNIC WYD. 2016			http://www.ceneo.pl/47522121
-645.38	47.	4	9788380082168			HARRY POTTER I WIEZIEN AZKABANU WYD. 2016			http://www.ceneo.pl/47522123
-620.07	-12	2	9788389779502			Ksiazka Pamietam, jak bieglem			http://www.ceneo.pl/1259750
-614.01	-17	3	9788324029150			Najwieksza podroz doktora Dolittle			http://www.ceneo.pl/28871985
-499.93	-6.	4	9788374950480			Ksiazka Swiat nura Aleksander Kosciow			http://www.ceneo.pl/43210296
-468.21	36.	2	9788380117044			Ksiazka Zludzenia			http://www.ceneo.pl/32620354
-381.06	46.	5	9788853606617			Ksiazka La Celestina nivel 3			http://www.ceneo.pl/13521200
-363.02	18.	1	9788393664511			Ksiazka JEZIORA I LASY POWIATU MIEDZYRZECKIEGO			http://www.ceneo.pl/47649089
-362.27	46.	1	9788390156484			Ksiazka Xiega przepowiedni			http://www.ceneo.pl/1339300
-362.88	46.	1	9788325001117			Ksiazka Najlepsi przyjaciele+Nielatwe zwiazki /tan			http://www.ceneo.pl/1346060
-347.85	14.	1	9788372986696			Ksiazka Drzacy Klub z Cove			http://www.ceneo.pl/1254281
-332.76	29.	2	9788324124626			Ksiazka Pejzaz smierci			http://www.ceneo.pl/1326158
-323.05	44.	1	9788324112975			Michael Crichton. Wyzsza koniecznosc.			http://www.ceneo.pl/7260081
-322.59	45.	1	9780553104288			Ksiazka Sunny chandlers return			http://www.ceneo.pl/15619011
-321.10	45.	1	9780972732833			Ksiazka Cure the incurable			http://www.ceneo.pl/1646993
-321.47	44.	1	9788311100336			Zbyt duzo blondynek op.m			http://www.ceneo.pl/8175822
-320.02	44.	1	9788388918216			Ksiazka Patron			http://www.ceneo.pl/683915
-319.19	44.	1	9788394007904			Ksiazka Nowicjusz			http://www.ceneo.pl/31841645
-319.84	45.	1	9788389779311			Ksiazka Codex			http://www.ceneo.pl/1368438
-319.91	45.	1	9788389695604			Ksiazka lodz chwilowe spotkania Eva Rubinstein			http://www.ceneo.pl/1476677
-319.93	43.	1	9788324400058			Ksiazka Moja teczka			http://www.ceneo.pl/13309428
-318.12	45.	1	9788388072420			Ksiazka Krajobrazy			http://www.ceneo.pl/1503502
-318.14	45.	1	9788388575389			Ksiazka Odczyty i rozprawy			http://www.ceneo.pl/1512404
-318.16	45.	1	9788392085874			Ksiazka zamach na Jana Pawla II w depeszach PAP z			http://www.ceneo.pl/1616823
-318.45	43.	1	9788373193901			Ksiazka Frida			http://www.ceneo.pl/1327649
-318.81	44.	1	9780972732840			Ksiazka Can we live 150 yearsa			http://www.ceneo.pl/1647080
-308.66	7.4	1	9788372987297			Ksiazka On musi odejsc			http://www.ceneo.pl/1259519
-183.22	23.	2	9780575095175			The Time Machine			http://www.ceneo.pl/15320730
-160.58	40.	1	9788374804417			Wschodzace gwiazdy. Tom 3			http://www.ceneo.pl/38267801
-159.12	18.	1	9788311100787			Ksiazka Ucieczka z Tobruku			http://www.ceneo.pl/1262338
-158.85	18.	1	9783922402275			Ksiazka One tworzyly piekno			http://www.ceneo.pl/1153236
-151.39	18.	1	9788373915022			Ksiazka Ostatni dzihad			http://www.ceneo.pl/1259654
-151.40	18.	1	9788373919617		miekka</span>	Ksiazka Pisz do Pilcha			http://www.ceneo.pl/1259950
-151.65	18.	1	9788372433657			Ksiazka Latajacy Cyrk Monty Pythona T. 1			http://www.ceneo.pl/1317907
